ActivityDay,StepTotal
1/15/2015,10001
1/16/2015,7906
1/17/2015,6383
1/18/2015,6910
1/19/2015,11591
1/20/2015,10524
1/21/2015,11652
1/22/2015,11044
1/23/2015,10035
1/24/2015,10643
1/25/2015,11786
1/26/2015,11175
1/27/2015,11361
1/28/2015,11751
1/29/2015,14051
1/30/2015,11925
1/31/2015,15372
2/1/2015,10425
2/2/2015,10709
2/3/2015,13735
2/4/2015,11889
2/5/2015,10790
2/6/2015,14829
2/7/2015,12626
2/8/2015,28403
2/9/2015,10107
2/10/2015,10432
2/11/2015,11128
2/12/2015,16726
2/13/2015,14524
2/14/2015,10194
2/15/2015,15078
2/16/2015,11087
2/17/2015,13400
2/18/2015,10365
2/19/2015,10721
2/20/2015,10063
2/21/2015,8102
2/22/2015,8109
2/23/2015,10182
2/24/2015,6107
2/25/2015,13058
2/26/2015,7232
2/27/2015,12050
2/28/2015,10005
3/1/2015,14176
3/2/2015,15405
3/3/2015,12260
3/4/2015,9013
3/5/2015,6144
3/6/2015,7528
3/7/2015,5026
3/8/2015,12743
3/9/2015,9889
3/10/2015,11982
3/11/2015,14760
3/12/2015,16875
3/13/2015,26920
3/14/2015,22995
3/15/2015,17022
3/16/2015,16446
3/17/2015,22118
3/18/2015,6692
3/19/2015,7506
3/20/2015,9798
3/21/2015,12177
3/22/2015,13391
3/23/2015,6689
3/24/2015,12886
3/25/2015,7494
3/26/2015,11010
3/27/2015,10414
3/28/2015,10212
3/29/2015,8207
3/30/2015,7180
3/31/2015,5162
4/1/2015,3078
4/2/2015,3869
4/3/2015,8001
4/4/2015,7237
4/5/2015,11308
4/6/2015,6699
4/7/2015,9083
4/8/2015,6929
4/9/2015,14732
4/10/2015,22708
4/11/2015,20268
4/12/2015,5018
4/13/2015,9387
4/14/2015,17146
4/15/2015,8906
4/16/2015,11792
4/17/2015,6614
4/18/2015,16922
4/19/2015,10013
4/20/2015,8795
4/21/2015,2845
4/22/2015,4964
4/23/2015,1871
4/24/2015,5005
4/25/2015,11834
4/26/2015,3983
4/27/2015,6879
4/28/2015,8215
4/29/2015,7554
4/30/2015,5687
5/1/2015,4221
5/2/2015,9717
5/3/2015,11805
5/4/2015,11381
5/5/2015,10718
5/6/2015,14572
5/7/2015,10021
5/8/2015,11023
5/9/2015,17364
5/10/2015,22594
5/11/2015,8882
5/12/2015,13566
5/13/2015,15378
5/14/2015,5968
5/15/2015,5975
5/16/2015,11015
5/17/2015,8287
5/18/2015,11979
5/19/2015,7323
5/20/2015,8526
5/21/2015,13831
5/22/2015,6741
5/23/2015,14962
5/24/2015,18446
5/25/2015,6990
5/26/2015,6529
5/27/2015,16577
5/28/2015,4001
5/29/2015,10090
5/30/2015,4238
5/31/2015,17577
6/1/2015,6192
6/2/2015,4122
6/3/2015,5093
6/4/2015,3408
6/5/2015,12086
6/6/2015,12304
6/7/2015,7673
6/8/2015,9334
6/9/2015,4982
6/10/2015,5913
6/11/2015,2938
6/12/2015,5735
6/13/2015,8317
6/14/2015,8435
6/15/2015,6219
6/16/2015,3080
6/17/2015,10354
6/18/2015,8522
6/19/2015,10635
6/20/2015,11347
6/21/2015,8831
6/22/2015,9762
6/23/2015,15226
6/24/2015,15110
6/25/2015,12125
6/26/2015,21133
6/27/2015,13542
6/28/2015,12154
6/29/2015,16766
6/30/2015,12417
7/1/2015,16096
7/2/2015,25040
7/3/2015,14255
7/4/2015,20779
7/5/2015,19917
7/6/2015,14877
7/7/2015,12259
7/8/2015,13761
7/9/2015,11234
7/10/2015,11791
7/11/2015,22041
7/12/2015,9097
7/13/2015,17781
7/14/2015,15234
7/15/2015,13334
7/16/2015,18525
7/17/2015,13386
7/18/2015,27047
7/19/2015,10229
7/20/2015,5587
7/21/2015,14093
7/22/2015,17675
7/23/2015,13074
7/24/2015,11837
7/25/2015,27704
7/26/2015,22562
7/27/2015,17364
7/28/2015,12983
7/29/2015,17125
7/30/2015,5788
7/31/2015,18383
8/1/2015,11015
8/2/2015,8903
8/3/2015,6372
8/4/2015,4731
8/5/2015,6930
8/6/2015,13147
8/7/2015,13173
8/8/2015,13255
8/9/2015,14615
8/10/2015,12182
8/11/2015,7413
8/12/2015,5608
8/13/2015,16350
8/14/2015,13000
8/15/2015,17927
8/16/2015,21592
8/17/2015,16345
8/18/2015,8515
8/19/2015,15345
8/20/2015,14662
8/21/2015,13908
8/22/2015,26782
8/23/2015,20779
8/24/2015,11898
8/25/2015,8842
8/26/2015,15292
8/27/2015,7854
8/28/2015,15205
8/29/2015,28470
8/30/2015,10514
8/31/2015,18602
9/1/2015,7742
9/2/2015,4367
9/3/2015,3821
9/4/2015,2940
9/5/2015,10922
9/6/2015,23193
9/7/2015,11317
9/8/2015,16446
9/9/2015,21005
9/10/2015,6721
9/11/2015,12854
9/12/2015,27848
9/13/2015,5953
9/14/2015,5448
9/15/2015,8195
9/16/2015,6198
9/17/2015,14845
9/18/2015,12017
9/19/2015,7807
9/20/2015,15045
9/21/2015,24452
9/22/2015,29277
9/23/2015,10282
9/24/2015,26985
9/25/2015,13887
9/26/2015,38003
9/27/2015,12498
9/28/2015,8351
9/29/2015,4945
9/30/2015,15249
10/1/2015,6867
10/2/2015,17050
10/3/2015,7968
10/4/2015,15943
10/5/2015,4230
10/6/2015,3098
10/7/2015,6071
10/8/2015,10732
10/9/2015,11332
10/10/2015,18668
10/11/2015,11514
10/12/2015,15891
10/13/2015,18162
10/14/2015,17430
10/15/2015,14789
10/16/2015,6887
10/17/2015,24243
10/18/2015,18490
10/19/2015,21288
10/20/2015,13966
10/21/2015,12241
10/22/2015,13076
10/23/2015,8344
10/24/2015,29407
10/25/2015,10129
10/26/2015,11142
10/27/2015,16430
10/28/2015,21261
10/29/2015,6566
10/30/2015,13464
10/31/2015,27940
11/1/2015,5741
11/2/2015,4160
11/3/2015,4243
11/4/2015,4013
11/5/2015,6569
11/6/2015,5498
11/7/2015,10376
11/8/2015,3698
11/9/2015,11048
11/10/2015,15277
11/11/2015,10914
11/12/2015,14881
11/13/2015,6853
11/14/2015,6693
11/15/2015,15385
11/16/2015,21461
11/17/2015,17442
11/18/2015,15738
11/19/2015,10371
11/20/2015,9773
11/21/2015,26797
11/22/2015,4594
11/23/2015,13297
11/24/2015,13236
11/25/2015,7844
11/26/2015,13675
11/27/2015,12796
11/28/2015,23521
11/29/2015,11080
11/30/2015,15251
12/1/2015,17606
12/2/2015,16627
12/3/2015,10243
12/4/2015,11276
12/5/2015,30546
12/6/2015,9351
12/7/2015,9560
12/8/2015,4610
12/9/2015,6026
12/10/2015,8851
12/11/2015,11843
12/12/2015,6113
12/13/2015,2991
12/14/2015,4502
12/15/2015,10558
12/16/2015,7202
12/17/2015,5532
12/18/2015,6019
12/19/2015,3387
12/20/2015,4404
12/21/2015,12419
12/22/2015,13634
12/23/2015,3257
12/24/2015,4942
12/25/2015,3279
12/26/2015,14000
12/27/2015,4988
12/28/2015,7188
12/29/2015,1454
12/30/2015,3805
12/31/2015,9669
1/1/2016,15200
1/2/2016,14376
1/3/2016,28611
1/4/2016,19644
1/5/2016,15492
1/6/2016,6501
1/7/2016,12565
1/8/2016,12928
1/9/2016,34120
1/10/2016,10158
1/11/2016,14831
1/12/2016,15969
1/13/2016,20414
1/14/2016,5942
1/15/2016,0
1/16/2016,0
1/17/2016,0
1/18/2016,0
1/19/2016,3713
1/20/2016,10
1/21/2016,7742
1/22/2016,11419
1/23/2016,5185
1/24/2016,6630
1/25/2016,7638
1/26/2016,6662
1/27/2016,15137
1/28/2016,7303
1/29/2016,4461
1/30/2016,7947
1/31/2016,19880
2/1/2016,10024
2/2/2016,8726
2/3/2016,9360
2/4/2016,10144
2/5/2016,10127
2/6/2016,14432
2/7/2016,8041
2/8/2016,6435
2/9/2016,7345
2/10/2016,10391
2/11/2016,11847
2/12/2016,11953
2/13/2016,16047
2/14/2016,42231
2/15/2016,7035
2/16/2016,6458
2/17/2016,6673
2/18/2016,7291
2/19/2016,12836
2/20/2016,6483
2/21/2016,6407
2/22/2016,4894
2/23/2016,9816
2/24/2016,8749
2/25/2016,10706
2/26/2016,6334
2/27/2016,7302
2/28/2016,8851
2/29/2016,12511
3/1/2016,9241
3/2/2016,8958
3/3/2016,7754
3/4/2016,7988
3/5/2016,12931
3/6/2016,8259
3/7/2016,5367
3/8/2016,8262
3/9/2016,17835
3/10/2016,5747
3/11/2016,7352
3/12/2016,14067
3/13/2016,12141
3/14/2016,7316
3/15/2016,15757
3/16/2016,18889
3/17/2016,10456
3/18/2016,7754
3/19/2016,2902
3/20/2016,15366
3/21/2016,11979
3/22/2016,9601
3/23/2016,17529
3/24/2016,14205
3/25/2016,11225
3/26/2016,10104
3/27/2016,6731
3/28/2016,7552
3/29/2016,8994
3/30/2016,11266
3/31/2016,5023
4/1/2016,8427
4/2/2016,11113
4/3/2016,10390
4/4/2016,4779
4/5/2016,3137
4/6/2016,1372
4/7/2016,1327
4/8/2016,2464
4/9/2016,6833
4/10/2016,3095
4/11/2016,5743
4/12/2016,5989
4/13/2016,9256
4/14/2016,9650
4/15/2016,5457
4/16/2016,4555
4/17/2016,6253
4/18/2016,4813
4/19/2016,6160
4/20/2016,10453
4/21/2016,4551
4/22/2016,8986
4/23/2016,5487
4/24/2016,5993
4/25/2016,6055
4/26/2016,5855
4/27/2016,6753
4/28/2016,6468
4/29/2016,9212
4/30/2016,6159
5/1/2016,3448
5/2/2016,4135
5/3/2016,5847
5/4/2016,5500
5/5/2016,7080
5/6/2016,6807
5/7/2016,11156
5/8/2016,17832
5/9/2016,12884
5/10/2016,8516
5/11/2016,4033
5/12/2016,5383
5/13/2016,10111
5/14/2016,11740
5/15/2016,7380
5/16/2016,10160
5/17/2016,5234
5/18/2016,6629
5/19/2016,5196
5/20/2016,4743
5/21/2016,4859
5/22/2016,10525
5/23/2016,7397
5/24/2016,11008
5/25/2016,13971
5/26/2016,10227
5/27/2016,8059
5/28/2016,16130
5/29/2016,2814
5/30/2016,9198
5/31/2016,10955
6/1/2016,7467
6/2/2016,9015
6/3/2016,7469
6/4/2016,3851
6/5/2016,7258
6/6/2016,5619
6/7/2016,12035
6/8/2016,6085
6/9/2016,10663
6/10/2016,7112
6/11/2016,7132
6/12/2016,4916
6/13/2016,11979
6/14/2016,18481
6/15/2016,8232
6/16/2016,14059
6/17/2016,11755
6/18/2016,11621
6/19/2016,12752
6/20/2016,12545
6/21/2016,11521
